content,url,title,time
"摘要: 找了好久才找到Win 2000 NetApi32.dll样本，下面我对这个经典栈溢出进行一下分析，使用IDA打开NetApi32.dll，问题函数：NetpwPathCanonucalize。实验环境:win xp sp3,ollydbg,IDA。exp编译工具：VC++ 6.0 其中的子函数存在溢",http://www.cnblogs.com/qiyeboy/p/7521172.html,经典栈溢出之MS060-040漏洞分析,2017年9月14日
摘要: 熊猫烧香病毒在当年可是火的一塌糊涂，感染非常迅速，算是病毒史上比较经典的案例。不过已经比较老了，基本上没啥危害，其中的技术也都过时了。作为练手项目，开始对熊猫烧香病毒进行分析。首先准备好病毒样本(看雪论坛有)，VM虚拟机和Xp Sp3系统。样本参数如下: 病毒名称：panda.exe 文件大小：61,http://www.cnblogs.com/qiyeboy/p/7400970.html,练手之经典病毒熊猫烧香分析(上),2017年8月20日
摘要: 前言 我新书《Python爬虫开发与项目实战》出版了。 这本书包括基础篇，中级篇和深入篇三个部分，不仅适合零基础的朋友入门，也适合有一定基础的爬虫爱好者进阶，如果你不会分布式爬虫，不会千万级数据的去重，不会怎么突破反爬虫，不会分析js的加密，这本书会给你惊喜。如果大家对这本书感兴趣的话，可以看一下 ,http://www.cnblogs.com/qiyeboy/p/7354246.html,《撸轮子系列》之LoadPE,2017年8月13日
摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 1.2 CoolBlog开发笔记第2课:搭建开发环境 1.3 CoolBlog开发笔记第3课:创建Django应用 前言 我新书《Python爬虫开发与项目实战》出版了。 这本书包括基础篇，中级篇和深入篇三个部分，不仅适合零基础的朋友入门，,http://www.cnblogs.com/qiyeboy/p/7079462.html,CoolBlog开发笔记第4课:数据库模型设计,2017年6月26日
摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 1.2 CoolBlog开发笔记第2课:搭建开发环境 前言 经过上一节我们已经创建了CoolBlog工程，但是关于CoolBlog的功能代码还没有写，Django只是帮助我们搭建好一个框架。在Django的思想中，希望我们将项目的功能分成一,http://www.cnblogs.com/qiyeboy/p/7077981.html,CoolBlog开发笔记第3课:创建Django应用,2017年6月25日
"摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 前言 今天是CoolBlog开发笔记的第2课，我们将要讲解的是开发环境的搭建。俗话说""工欲善其事必先利其器""，Django开发中我们选择一些比较好用的开发工具大有裨益。 开发选择的操作系统为win7 x64旗舰版(比较普遍，我也想用Mac)",http://www.cnblogs.com/qiyeboy/p/7072518.html,CoolBlog开发笔记第2课:搭建开发环境,2017年6月24日
摘要: 首先说一下CoolBlog开发笔记是我制作的《Django实战项目》系列教程基础篇的内容，使用Django来开发一个酷炫的个人博客，涉及的知识包括项目的分析，环境的搭建，模型和视图定义等等内容。为了给大家打打气，咱们看一下最终做出的效果，如下图所示。 图1.1 效果图 是不是已经迫不及待了呢？不要着,http://www.cnblogs.com/qiyeboy/p/7070135.html,CoolBlog开发笔记第1课:项目分析,2017年6月23日
"摘要: 前言 这次分享的文章是我《Python爬虫开发与项目实战》基础篇 第七章的内容，关于如何手工打造简单分布式爬虫 (如果大家对这本书感兴趣的话，可以看一下 试读样章),下面是文章的具体内容。 本章讲的依旧是实战项目，实战内容是打造分布式爬虫，这对初学者来说，是一个不小的挑战，也是一次有意义的尝试。这次",http://www.cnblogs.com/qiyeboy/p/7016540.html,纯手工打造简单分布式爬虫(Python),2017年6月15日
"摘要: 早上6点多起床了，第一次起这么早，昨天晚上12点多，看到了一则紧急通知，勒索软件通过微软“永恒之蓝""漏洞针对教育网进行了大规模的攻击，而且有很多同学中招。中招后的结果如下图所示。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 下面看一下紧急通知的内容： 关于防范ONION勒",http://www.cnblogs.com/qiyeboy/p/6848935.html,"“永恒之蓝""漏洞的紧急应对--毕业生必看",2017年5月13日
摘要: 给出两个多项式： 大家都很清楚多项式相加，即为相同指数项对应相加。那我们如何使用程序来描述两个多项式相加呢？大家首先想到的是用数组描述，多项式的指数使用下标来表示，前面的系数为对应数组中的值。f1(x)表示如下： f2(x)表示如下： 其实只要写个for循环，相同下标的相加即可，非常简单。下面问题来,http://www.cnblogs.com/qiyeboy/p/6839318.html,从多项式相加看线性结构,2017年5月11日
摘要: 在做Windows平台软件逆向时，Ollydbg是极其常用的逆向工具，动态调试功能非常强大。在调试过程中，断点的使用有助于确定关键的破解位置，今天讲解的内容是OD常用断点中的CC断点。 CC断点有很多名称，比如普通断点、F2断点或者int3断点，每个名称都有它的来源。下面我们以crackme_01.,http://www.cnblogs.com/qiyeboy/p/6815988.html,OD常用断点之CC断点,2017年5月6日
"摘要: 从三月份开始，继续更新技术文章。一个月没有更新技术文章了，这一个月有一部分时间是在休息，另一部分时间是在学习汇编和操作系统，沉淀底层和逆向方面的技术。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 今年年初，为了玩一下 kali NetHunter,入手了一部1加3T手机。",http://www.cnblogs.com/qiyeboy/p/6486777.html,打造“黑客“手机--Kali Nethunter,2017年3月1日
摘要: 已经有一个月没有更新博客了，一方面是因为平时太忙了，另一方面是想积攒一些干货进行分享。最近主要是做了一些开源项目的源码分析工作，有c项目也有python项目，想提升一下内功，今天分享一下tinyhttpd源码分析的成果。tinyhttpd是一个非常轻量型的http服务器，c代码500行左右，可以帮助,http://www.cnblogs.com/qiyeboy/p/6296387.html,HTTP服务器的本质:tinyhttpd源码分析及拓展,2017年1月18日
"摘要: 开源IP代理池 继上一篇开源项目IPProxys的使用之后，大家在github,我的公众号和博客上提出了很多建议。经过两周时间的努力，基本完成了开源IP代理池IPProxyPool的重构任务，业余时间基本上都花在上面了。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） IPP",http://www.cnblogs.com/qiyeboy/p/6163474.html,开源IP代理池续——整体重构,2016年12月12日
摘要: 前几天看了一下github上，IPProxys开源项目(https://github.com/qiyeboy/IPProxys)快100star了，看来大家对这个项目还是比较感兴趣的。最近一直没更新文章，主要是忙实验室的工作和写一个之前给大家提到新的开源项目，我将它命名为PowerProxy，写的过,http://www.cnblogs.com/qiyeboy/p/6086611.html,开源项目IPProxys的使用,2016年11月21日
摘要: 前言 已经有十几天没有更新文章了，但是这些天并没有闲着，状态和封面上的人一样，写代码和思考。。。 最近事宜 这些天主要干了些什么事情呢？这个必须要给大家说一下，不然大家以为我消失了呢。这些天一直在维护我github上的两个开源项目，一个是IPProxy(代理IP池)，另一个是spider_smooc,http://www.cnblogs.com/qiyeboy/p/6018594.html,原创爬虫开源项目——更新维护,2016年11月1日
摘要: 今天给大家分享一下编写一个Sublime Text3 插件的流程以及使用插件解决的一个实际问题。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 一、开发插件的前提条件 开发sublime插件用到的是Python语言，因此必须懂Python语言的基础语法。学习Python语言,http://www.cnblogs.com/qiyeboy/p/5966353.html,sublime Text3 插件编写教程_第一课,2016年10月16日
摘要: 上一篇讲解了无线安全专题_攻击篇--干扰通信，没在首页待多长时间就被拿下了，看来之后不能只是讲解攻击实战，还要进行技术原理和防御方法的讲解。本篇讲解的是局域网内的MAC泛洪攻击，这种攻击方式主要目的是窃取局域网中的通信数据，例如ftp的账号和密码，下面的实战也是以此为例子。接下来按照原理，场景，攻击,http://www.cnblogs.com/qiyeboy/p/5930573.html,无线安全专题_攻击篇--MAC泛洪攻击,2016年10月4日
摘要: 中秋节玩的比较嗨，无线安全专题的文章就拖沓了一下，见谅见谅。。。上篇讲解了无线安全专题_破解篇03--打造个人字典，有感兴趣的朋友给我私信，还有在公众号中给我留言说，希望我讲解一下彩虹表和GPU破解的事情，所以我为了响应大家的需求，我之后会在破解篇中再增加一篇专门讲解彩虹表和GPU破解的问题。今天咱,http://www.cnblogs.com/qiyeboy/p/5889518.html,无线安全专题_攻击篇--干扰通信,2016年9月20日
摘要: 上一篇讲解了如何通过Kali破解Pin码，今天继续无线安全专题破解篇的第三讲:打造个人字典。通过第一课，我们知道想要破解WPA加密，需要一个强大的字典。字典的强大直接决定了破解的可能性，废话不多说，咱们就学习一下怎么使用kali中的工具生打造个人字典。 一.crunsh工具介绍 今天主要说的是cru,http://www.cnblogs.com/qiyeboy/p/5840577.html,无线安全专题_破解篇03--打造个人字典,2016年9月4日
摘要: 最近项目有点紧，所以本应该上周发的文章，拖到了本周三，在此说声抱歉。无线安全专题，我打算系统地写六个部分，分别为破解篇，攻击篇，欺骗篇，路由篇，移动篇和蓝牙篇，当然在发布的过程中，可能还会掺杂着发布flask的教程，分享我的个人博客框架。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看,http://www.cnblogs.com/qiyeboy/p/5825525.html,无线安全专题_破解篇02--kali破解pin码,2016年8月31日
摘要: 最近一直用flask写自己的博客框架，等过段时间才能将其分享出来，所以在此期间决定开个无线安全的专题，分享一些无线安全方面的知识。 好了，废话不多说，咱们进入今天的主题，使用kali linux上的无线安全工具对wpa加密的wifi进行密码破解。由于现在wep加密太少了，所以直接略过，选择破解wpa,http://www.cnblogs.com/qiyeboy/p/5792927.html,无线安全专题01--kali破解WPA,2016年8月21日
"摘要: 上一篇百度登录加密协议分析(上)主要讲解了codestring,gid,token,rsakey等参数的产生。好了，废话不多说，咱们进入今天的主题，咱们接着上一篇的内容往下讲解，最后还剩三个字段 callback,password,ppui_logintime。（我的新书《Python爬虫开发与项目",http://www.cnblogs.com/qiyeboy/p/5728293.html,百度登录加密协议分析(下),2016年8月2日
摘要: 本周又和大家见面了，没什么特殊情况，一般是一周一篇原创。发布的时间基本上是在周末，平时还是比较忙碌的。最近在开发自己的博客，过段时间可以和大家分享开发博客中的技术点。如果大家想及时的和我交流的话，可以关注文章最后的微信公众号，这样我可以比较及时的知道大家的想法。（我的新书《Python爬虫开发与项目,http://www.cnblogs.com/qiyeboy/p/5722424.html,百度登录加密协议分析(上),2016年7月31日
"摘要: 今天博客开始继续更新，谢谢大家对我的关注和支持。这几天一直是在写一个ip代理池的开源项目。通过前几篇的博客，我们可以了解到突破反爬虫机制的一个重要举措就是代理ip。拥有庞大稳定的ip代理，在爬虫工作中将起到重要的作用,但是从成本的角度来说，一般稳定的ip池都很贵，因此我这个开源项目的意义就诞生了，爬",http://www.cnblogs.com/qiyeboy/p/5693128.html,python开源IP代理池--IPProxys,2016年7月21日
摘要: 本周又和大家见面了，首先说一下两周之后要进行研究生的期末考试，所以这次可能是考试之前的最后一更，我要忙着复习了，还请大家见谅，一般情况下我都是每周更新一篇技术原创。 好了，废话不多说，咱们进入今天的主题。由于我在简书也有自己的基地，所以每次在博客园文章更新完，还要在简书进行更新。由于简书文章的编辑格,http://www.cnblogs.com/qiyeboy/p/5600839.html,python爬虫:将本人博客园文章转化为MarkDown格式,2016年6月20日
摘要: 本周又和大家见面了，首先说一下我最近正在做和将要做的一些事情。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 技术方面的事情:本次端午假期没有休息，正在使用flask开发自己的个人博客框架，之后我的技术教程将会陆续更新flask方面的内容，尽可能的形成一套完整的flask开,http://www.cnblogs.com/qiyeboy/p/5577036.html,Scrapy爬取美女图片第四集 突破反爬虫(上),2016年6月12日
摘要: 本来今天要继续更新 scrapy爬取美女图片 系列文章，可是发现使用免费的代理ip都非常不稳定，有时候连接上，有时候连接不上，所以我想找到稳定的代理ip，下次再更新 scrapy爬取美女图片之应对反爬虫 文章。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 好了，废话不多说,http://www.cnblogs.com/qiyeboy/p/5564679.html,python爬虫-爬取盗墓笔记,2016年6月6日
摘要: 这是我的公众号获取原创保护的首篇文章，原创的肯定将支持我继续前行。现在写这篇文章的时间是晚上11:30，写完就回寝室休息了，希望更多的朋友与我一起同行(当然需要一个善良的妹子的救济)。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 好了，废话不多说，咱们进入今天的主题。上一,http://www.cnblogs.com/qiyeboy/p/5544917.html,Scrapy爬取美女图片第三集 代理ip(下),2016年5月31日
"摘要: 首先说一声，让大家久等了。本来打算520那天进行更新的，可是一细想，也只有我这样的单身狗还在做科研，大家可能没心思看更新的文章，所以就拖到了今天。不过忙了521,522这一天半，我把数据库也添加进来了，修复了一些bug(现在肯定有人会说果然是单身狗)。（我的新书《Python爬虫开发与项目实战》出版",http://www.cnblogs.com/qiyeboy/p/5517271.html,Scrapy爬取美女图片第三集 代理ip(上) (原创),2016年5月22日
摘要: 上一篇咱们讲到了七夜音乐台的需求和所需要的技术。咱们今天就讲一下爬虫，为什么要讲爬虫，因为音乐台的数据源需要通过爬虫来获取，不可能手动来下载。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章）。下图是一个网络爬虫的基本框架: 网络爬虫的基本工作流程如下： 1.首先选取一部分精心,http://www.cnblogs.com/qiyeboy/p/5487556.html,七夜在线音乐台开发 第三弹 爬虫篇 (原创),2016年5月12日
摘要: 上一篇咱们讲解了Scrapy的工作机制和如何使用Scrapy爬取美女图片，而今天接着讲解Scrapy爬取美女图片，不过采取了不同的方式和代码实现，对Scrapy的功能进行更深入的运用。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 在学习Scrapy官方文档的过程中，发现S,http://www.cnblogs.com/qiyeboy/p/5449266.html,Scrapy爬取美女图片续集 (原创),2016年4月30日
摘要: 有半个月没有更新了，最近确实有点忙。先是华为的比赛，接着实验室又有项目